Date [yyyy-mm-dd-hh-mm];Electrical Energy Price [€/MWh];Electrical Energy Price [€/MWh];Gas Price [€/MWh]
01.01.2019 00:00;131,66;-25;19,88
01.01.2019 01:00;131,66;-29,99;
01.01.2019 02:00;131,66;-56,65;
01.01.2019 03:00;131,66;-63,14;
01.01.2019 04:00;131,66;-64,62;
01.01.2019 05:00;131,66;-67;
01.01.2019 06:00;146,66;-72,54;
01.01.2019 07:00;146,66;-76,01;
01.01.2019 08:00;146,66;-71,45;
01.01.2019 09:00;146,66;-66,88;
01.01.2019 10:00;146,66;-62;
01.01.2019 11:00;146,66;-56,08;
01.01.2019 12:00;146,66;-49,96;
01.01.2019 13:00;146,66;-24,29;
01.01.2019 14:00;146,66;-5,59;
01.01.2019 15:00;146,66;0,23;
01.01.2019 16:00;146,66;11,02;
01.01.2019 17:00;146,66;23,5;
01.01.2019 18:00;146,66;22,91;
01.01.2019 19:00;146,66;21,02;
01.01.2019 20:00;146,66;21,05;
01.01.2019 21:00;146,66;21,95;
01.01.2019 22:00;146,66;23,52;
01.01.2019 23:00;131,66;18,96;
02.01.2019 00:00;131,66;18,12;19,35
02.01.2019 01:00;131,66;14,99;
02.01.2019 02:00;131,66;13,63;
02.01.2019 03:00;131,66;12,15;
02.01.2019 04:00;131,66;11,83;
02.01.2019 05:00;131,66;14,55;
02.01.2019 06:00;146,66;22,58;
02.01.2019 07:00;146,66;41,92;
02.01.2019 08:00;146,66;47,95;
02.01.2019 09:00;146,66;49,9;
02.01.2019 10:00;146,66;50;
02.01.2019 11:00;146,66;49,7;
02.01.2019 12:00;146,66;48,16;
02.01.2019 13:00;146,66;47,24;
02.01.2019 14:00;146,66;46,1;
02.01.2019 15:00;146,66;43,86;
02.01.2019 16:00;146,66;43,64;
02.01.2019 17:00;146,66;47,37;
02.01.2019 18:00;146,66;46,08;
02.01.2019 19:00;146,66;41,08;
02.01.2019 20:00;146,66;34,94;
02.01.2019 21:00;146,66;25,46;
02.01.2019 22:00;146,66;21,3;
02.01.2019 23:00;131,66;9,94;
03.01.2019 00:00;131,66;7,93;18,92
03.01.2019 01:00;131,66;0,03;
03.01.2019 02:00;131,66;0,02;
03.01.2019 03:00;131,66;-5,99;
03.01.2019 04:00;131,66;-9,21;
03.01.2019 05:00;131,66;-4,64;
03.01.2019 06:00;146,66;8,02;
03.01.2019 07:00;146,66;11,03;
03.01.2019 08:00;146,66;13,28;
03.01.2019 09:00;146,66;13,18;
03.01.2019 10:00;146,66;13,71;
03.01.2019 11:00;146,66;15,42;
03.01.2019 12:00;146,66;15,84;
03.01.2019 13:00;146,66;16;
03.01.2019 14:00;146,66;15,75;
03.01.2019 15:00;146,66;15,14;
03.01.2019 16:00;146,66;16;
03.01.2019 17:00;146,66;15,11;
03.01.2019 18:00;146,66;13,37;
03.01.2019 19:00;146,66;11,06;
03.01.2019 20:00;146,66;10,06;
03.01.2019 21:00;146,66;9,3;
03.01.2019 22:00;146,66;9,87;
03.01.2019 23:00;131,66;4,97;
04.01.2019 00:00;131,66;-0,36;19,08
04.01.2019 01:00;131,66;-5,57;
04.01.2019 02:00;131,66;-7,85;
04.01.2019 03:00;131,66;-5,29;
04.01.2019 04:00;131,66;-1,75;
04.01.2019 05:00;131,66;6,01;
04.01.2019 06:00;146,66;19,96;
04.01.2019 07:00;146,66;33,59;
04.01.2019 08:00;146,66;40,45;
04.01.2019 09:00;146,66;41,97;
04.01.2019 10:00;146,66;44,91;
04.01.2019 11:00;146,66;48,22;
04.01.2019 12:00;146,66;46,04;
04.01.2019 13:00;146,66;42;
04.01.2019 14:00;146,66;41,08;
04.01.2019 15:00;146,66;42,04;
04.01.2019 16:00;146,66;42,53;
04.01.2019 17:00;146,66;51,43;
04.01.2019 18:00;146,66;49,96;
04.01.2019 19:00;146,66;46,73;
04.01.2019 20:00;146,66;41,57;
04.01.2019 21:00;146,66;37,09;
04.01.2019 22:00;146,66;33,92;
04.01.2019 23:00;131,66;28,05;
05.01.2019 00:00;131,66;5,96;18,96
05.01.2019 01:00;131,66;-0,94;
05.01.2019 02:00;131,66;-0,03;
05.01.2019 03:00;131,66;0,55;
05.01.2019 04:00;131,66;-11,81;
05.01.2019 05:00;131,66;8,92;
05.01.2019 06:00;146,66;21,68;
05.01.2019 07:00;146,66;30,44;
05.01.2019 08:00;146,66;36,2;
05.01.2019 09:00;146,66;36,3;
05.01.2019 10:00;146,66;38,95;
05.01.2019 11:00;146,66;39,4;
05.01.2019 12:00;146,66;41,69;
05.01.2019 13:00;146,66;43,69;
05.01.2019 14:00;146,66;44,08;
05.01.2019 15:00;146,66;47,1;
05.01.2019 16:00;146,66;47,77;
05.01.2019 17:00;146,66;56,35;
05.01.2019 18:00;146,66;57,42;
05.01.2019 19:00;146,66;53,99;
05.01.2019 20:00;146,66;42,36;
05.01.2019 21:00;146,66;39,9;
05.01.2019 22:00;146,66;39,97;
05.01.2019 23:00;131,66;36,27;
06.01.2019 00:00;131,66;29,45;
06.01.2019 01:00;131,66;28,55;
06.01.2019 02:00;131,66;28,18;
06.01.2019 03:00;131,66;27,33;
06.01.2019 04:00;131,66;27,08;
06.01.2019 05:00;131,66;28,7;
06.01.2019 06:00;146,66;30;
06.01.2019 07:00;146,66;31,36;
06.01.2019 08:00;146,66;34,19;
06.01.2019 09:00;146,66;41,11;
06.01.2019 10:00;146,66;44;
06.01.2019 11:00;146,66;43,74;
06.01.2019 12:00;146,66;44,01;
06.01.2019 13:00;146,66;42,9;
06.01.2019 14:00;146,66;38,7;
06.01.2019 15:00;146,66;37,4;
06.01.2019 16:00;146,66;40,52;
06.01.2019 17:00;146,66;45,46;
06.01.2019 18:00;146,66;49,98;
06.01.2019 19:00;146,66;45,9;
06.01.2019 20:00;146,66;40,9;
06.01.2019 21:00;146,66;33,69;
06.01.2019 22:00;146,66;36,26;
06.01.2019 23:00;131,66;29,03;
07.01.2019 00:00;131,66;21,87;
07.01.2019 01:00;131,66;15,98;
07.01.2019 02:00;131,66;15,99;
07.01.2019 03:00;131,66;14;
07.01.2019 04:00;131,66;12,51;
07.01.2019 05:00;131,66;13,21;
07.01.2019 06:00;146,66;12,17;
07.01.2019 07:00;146,66;13,02;
07.01.2019 08:00;146,66;20,52;
07.01.2019 09:00;146,66;23,22;
07.01.2019 10:00;146,66;24,81;
07.01.2019 11:00;146,66;28,95;
07.01.2019 12:00;146,66;28,96;
07.01.2019 13:00;146,66;27,08;
07.01.2019 14:00;146,66;23,46;
07.01.2019 15:00;146,66;23,7;
07.01.2019 16:00;146,66;27,21;
07.01.2019 17:00;146,66;30,88;
07.01.2019 18:00;146,66;34,34;
07.01.2019 19:00;146,66;32,33;
07.01.2019 20:00;146,66;31,44;
07.01.2019 21:00;146,66;28,94;
07.01.2019 22:00;146,66;29,69;
07.01.2019 23:00;131,66;27,01;
08.01.2019 00:00;131,66;18,91;18,62
08.01.2019 01:00;131,66;15,15;
08.01.2019 02:00;131,66;15,11;
08.01.2019 03:00;131,66;13,42;
08.01.2019 04:00;131,66;12,91;
08.01.2019 05:00;131,66;17,1;
08.01.2019 06:00;146,66;30,03;
08.01.2019 07:00;146,66;42,93;
08.01.2019 08:00;146,66;44,95;
08.01.2019 09:00;146,66;42,57;
08.01.2019 10:00;146,66;41,98;
08.01.2019 11:00;146,66;41,54;
08.01.2019 12:00;146,66;42,9;
08.01.2019 13:00;146,66;42,9;
08.01.2019 14:00;146,66;40,91;
08.01.2019 15:00;146,66;40,97;
08.01.2019 16:00;146,66;39,69;
08.01.2019 17:00;146,66;40,26;
08.01.2019 18:00;146,66;37,99;
08.01.2019 19:00;146,66;31,92;
08.01.2019 20:00;146,66;28,02;
08.01.2019 21:00;146,66;22,35;
08.01.2019 22:00;146,66;22,7;
08.01.2019 23:00;131,66;4,89;
09.01.2019 00:00;131,66;13,09;18,92
09.01.2019 01:00;131,66;12,62;
09.01.2019 02:00;131,66;9,79;
09.01.2019 03:00;131,66;4,99;
09.01.2019 04:00;131,66;9,24;
09.01.2019 05:00;131,66;14,66;
09.01.2019 06:00;146,66;28,17;
09.01.2019 07:00;146,66;32,36;
09.01.2019 08:00;146,66;32,53;
09.01.2019 09:00;146,66;32,38;
09.01.2019 10:00;146,66;32,35;
09.01.2019 11:00;146,66;34,04;
09.01.2019 12:00;146,66;35,99;
09.01.2019 13:00;146,66;39,58;
09.01.2019 14:00;146,66;40,62;
09.01.2019 15:00;146,66;40,98;
09.01.2019 16:00;146,66;42,88;
09.01.2019 17:00;146,66;44,06;
09.01.2019 18:00;146,66;42,91;
09.01.2019 19:00;146,66;40,98;
09.01.2019 20:00;146,66;40,9;
09.01.2019 21:00;146,66;38;
09.01.2019 22:00;146,66;32,6;
09.01.2019 23:00;131,66;30,61;
10.01.2019 00:00;131,66;30;19,37
10.01.2019 01:00;131,66;28,3;
10.01.2019 02:00;131,66;27,95;
10.01.2019 03:00;131,66;26,91;
10.01.2019 04:00;131,66;26,63;
10.01.2019 05:00;131,66;30,91;
10.01.2019 06:00;146,66;34,87;
10.01.2019 07:00;146,66;45,09;
10.01.2019 08:00;146,66;49,16;
10.01.2019 09:00;146,66;48,94;
10.01.2019 10:00;146,66;48,04;
10.01.2019 11:00;146,66;47,78;
10.01.2019 12:00;146,66;47,19;
10.01.2019 13:00;146,66;45,24;
10.01.2019 14:00;146,66;47,1;
10.01.2019 15:00;146,66;47,98;
10.01.2019 16:00;146,66;48,9;
10.01.2019 17:00;146,66;51,9;
10.01.2019 18:00;146,66;52,69;
10.01.2019 19:00;146,66;49,1;
10.01.2019 20:00;146,66;44;
10.01.2019 21:00;146,66;36,99;
10.01.2019 22:00;146,66;38,43;
10.01.2019 23:00;131,66;37,9;
11.01.2019 00:00;131,66;37,33;19,47
11.01.2019 01:00;131,66;36,3;
11.01.2019 02:00;131,66;34,2;
11.01.2019 03:00;131,66;33;
11.01.2019 04:00;131,66;33,05;
11.01.2019 05:00;131,66;37,09;
11.01.2019 06:00;146,66;41,5;
11.01.2019 07:00;146,66;53,07;
11.01.2019 08:00;146,66;57,02;
11.01.2019 09:00;146,66;55,91;
11.01.2019 10:00;146,66;55,13;
11.01.2019 11:00;146,66;55,91;
11.01.2019 12:00;146,66;54,61;
11.01.2019 13:00;146,66;54,83;
11.01.2019 14:00;146,66;54,74;
