Date [yyyy-mm-dd-hh-mm];Electrical Energy Price [€/MWh];Gas Price [€/MWh]
01.01.2018 00:00;131,66;19,9
01.01.2018 01:00;131,66;
01.01.2018 02:00;131,66;
01.01.2018 03:00;131,66;
01.01.2018 04:00;131,66;
01.01.2018 05:00;131,66;
01.01.2018 06:00;146,66;
01.01.2018 07:00;146,66;
01.01.2018 08:00;146,66;
01.01.2018 09:00;146,66;
01.01.2018 10:00;146,66;
01.01.2018 11:00;146,66;
01.01.2018 12:00;146,66;
01.01.2018 13:00;146,66;
01.01.2018 14:00;146,66;
01.01.2018 15:00;146,66;
01.01.2018 16:00;146,66;
01.01.2018 17:00;146,66;
01.01.2018 18:00;146,66;
01.01.2018 19:00;146,66;
01.01.2018 20:00;146,66;
01.01.2018 21:00;146,66;
01.01.2018 22:00;146,66;
01.01.2018 23:00;131,66;
02.01.2018 00:00;131,66;
02.01.2018 01:00;131,66;
02.01.2018 02:00;131,66;
02.01.2018 03:00;131,66;
02.01.2018 04:00;131,66;
02.01.2018 05:00;131,66;
02.01.2018 06:00;146,66;
02.01.2018 07:00;146,66;
02.01.2018 08:00;146,66;
02.01.2018 09:00;146,66;
02.01.2018 10:00;146,66;
02.01.2018 11:00;146,66;
02.01.2018 12:00;146,66;
02.01.2018 13:00;146,66;
02.01.2018 14:00;146,66;
02.01.2018 15:00;146,66;
02.01.2018 16:00;146,66;
02.01.2018 17:00;146,66;
02.01.2018 18:00;146,66;
02.01.2018 19:00;146,66;
02.01.2018 20:00;146,66;
02.01.2018 21:00;146,66;
02.01.2018 22:00;146,66;
02.01.2018 23:00;131,66;
03.01.2018 00:00;131,66;19,65
03.01.2018 01:00;131,66;
03.01.2018 02:00;131,66;
03.01.2018 03:00;131,66;
03.01.2018 04:00;131,66;
03.01.2018 05:00;131,66;
03.01.2018 06:00;146,66;
03.01.2018 07:00;146,66;
03.01.2018 08:00;146,66;
03.01.2018 09:00;146,66;
03.01.2018 10:00;146,66;
03.01.2018 11:00;146,66;
03.01.2018 12:00;146,66;
03.01.2018 13:00;146,66;
03.01.2018 14:00;146,66;
03.01.2018 15:00;146,66;
03.01.2018 16:00;146,66;
03.01.2018 17:00;146,66;
03.01.2018 18:00;146,66;
03.01.2018 19:00;146,66;
03.01.2018 20:00;146,66;
03.01.2018 21:00;146,66;
03.01.2018 22:00;146,66;
03.01.2018 23:00;131,66;
04.01.2018 00:00;131,66;18,86
04.01.2018 01:00;131,66;
04.01.2018 02:00;131,66;
04.01.2018 03:00;131,66;
04.01.2018 04:00;131,66;
04.01.2018 05:00;131,66;
04.01.2018 06:00;146,66;
04.01.2018 07:00;146,66;
04.01.2018 08:00;146,66;
04.01.2018 09:00;146,66;
04.01.2018 10:00;146,66;
04.01.2018 11:00;146,66;
04.01.2018 12:00;146,66;
04.01.2018 13:00;146,66;
04.01.2018 14:00;146,66;
04.01.2018 15:00;146,66;
04.01.2018 16:00;146,66;
04.01.2018 17:00;146,66;
04.01.2018 18:00;146,66;
04.01.2018 19:00;146,66;
04.01.2018 20:00;146,66;
04.01.2018 21:00;146,66;
04.01.2018 22:00;146,66;
04.01.2018 23:00;131,66;
05.01.2018 00:00;131,66;19,08
05.01.2018 01:00;131,66;
05.01.2018 02:00;131,66;
05.01.2018 03:00;131,66;
05.01.2018 04:00;131,66;
05.01.2018 05:00;131,66;
05.01.2018 06:00;146,66;
05.01.2018 07:00;146,66;
05.01.2018 08:00;146,66;
05.01.2018 09:00;146,66;
05.01.2018 10:00;146,66;
05.01.2018 11:00;146,66;
05.01.2018 12:00;146,66;
05.01.2018 13:00;146,66;
05.01.2018 14:00;146,66;
05.01.2018 15:00;146,66;
05.01.2018 16:00;146,66;
05.01.2018 17:00;146,66;
05.01.2018 18:00;146,66;
05.01.2018 19:00;146,66;
05.01.2018 20:00;146,66;
05.01.2018 21:00;146,66;
05.01.2018 22:00;146,66;
05.01.2018 23:00;131,66;
06.01.2018 00:00;131,66;19,22
06.01.2018 01:00;131,66;
06.01.2018 02:00;131,66;
06.01.2018 03:00;131,66;
06.01.2018 04:00;131,66;
06.01.2018 05:00;131,66;
06.01.2018 06:00;146,66;
06.01.2018 07:00;146,66;
06.01.2018 08:00;146,66;
06.01.2018 09:00;146,66;
06.01.2018 10:00;146,66;
06.01.2018 11:00;146,66;
06.01.2018 12:00;146,66;
06.01.2018 13:00;146,66;
06.01.2018 14:00;146,66;
06.01.2018 15:00;146,66;
06.01.2018 16:00;146,66;
06.01.2018 17:00;146,66;
06.01.2018 18:00;146,66;
06.01.2018 19:00;146,66;
06.01.2018 20:00;146,66;
06.01.2018 21:00;146,66;
06.01.2018 22:00;146,66;
06.01.2018 23:00;131,66;
07.01.2018 00:00;131,66;19,3
07.01.2018 01:00;131,66;
07.01.2018 02:00;131,66;
07.01.2018 03:00;131,66;
07.01.2018 04:00;131,66;
07.01.2018 05:00;131,66;
07.01.2018 06:00;146,66;
07.01.2018 07:00;146,66;
07.01.2018 08:00;146,66;
07.01.2018 09:00;146,66;
07.01.2018 10:00;146,66;
07.01.2018 11:00;146,66;
07.01.2018 12:00;146,66;
07.01.2018 13:00;146,66;
07.01.2018 14:00;146,66;
07.01.2018 15:00;146,66;
07.01.2018 16:00;146,66;
07.01.2018 17:00;146,66;
07.01.2018 18:00;146,66;
