Date [yyyy-mm-dd-hh-mm];air_pressure;air_temperature;relative_air_humidity;rain_indicator;rainfall;wind_direction;wind_speed;clouds;global_radiation;direct_radiation;diffuse_radiation
01.01.2019 00:00;999,7;0,0;92,6;0;0;220;8,4;0,9;0;0;0
01.01.2019 00:10;999,7;6,8;92,5;0;0;220;9,3;;;;
01.01.2019 00:20;999,6;6,8;93,6;0;0;210;8,2;;;;
01.01.2019 00:30;999,5;6,7;94,2;0;0;200;8,6;;;;
01.01.2019 00:40;999,4;6,7;93,7;0;0;210;8,7;;;;
01.01.2019 00:50;999,2;6,6;93,4;0;0;210;8,4;;;;
01.01.2019 01:00;999,2;6,6;94,2;0;0;200;8,2;0,9;0;0;0
01.01.2019 01:10;999,2;6,5;94,7;0;0;210;7,6;;;;
01.01.2019 01:20;999,2;6,4;93,4;0;0;210;7,1;;;;
01.01.2019 01:30;999,2;6,4;94;0;0;210;9,1;;;;
01.01.2019 01:40;999,1;6,4;93,1;0;0;220;10,3;;;;
01.01.2019 01:50;998,9;6,4;92,5;0;0;220;9,7;;;;
01.01.2019 02:00;998,8;6,5;91,9;0;0;230;9,7;0,9;0;0;0
01.01.2019 02:10;998,6;6,5;92,3;0;0;220;8,8;;;;
01.01.2019 02:20;998,5;6,5;92,4;0;0;220;7,5;;;;
01.01.2019 02:30;998,4;6,5;93,4;0;0;220;7,9;;;;
01.01.2019 02:40;998,2;6,5;93,1;0;0;220;7,8;;;;
01.01.2019 02:50;998,1;6,5;92,4;0;0;220;7,6;;;;
01.01.2019 03:00;997,9;6,4;92,8;0;0;220;7,7;0,9;0;0;0
01.01.2019 03:10;997,9;6,4;92,3;0;0;220;7,5;;;;
01.01.2019 03:20;997,9;6,4;92;0;0;210;7,3;;;;
01.01.2019 03:30;997,6;6,4;92,1;0;0;220;9,3;;;;
01.01.2019 03:40;997,2;6,3;91,5;0;0;220;8,2;;;;
01.01.2019 03:50;997,1;6,3;91,1;0;0;210;8,6;;;;
01.01.2019 04:00;997;6,3;90,2;0;0;220;9,3;0,9;0;0;0
01.01.2019 04:10;996,8;6,3;89,7;1;0;220;8,7;;;;
01.01.2019 04:20;996,6;6,3;90,4;1;0;230;9,2;;;;
01.01.2019 04:30;996,7;6,3;90,5;1;0;250;11,7;;;;
01.01.2019 04:40;996,8;6,2;90,5;1;0;250;9,4;;;;
01.01.2019 04:50;996,6;6,2;89,7;0;0;240;7,8;;;;
01.01.2019 05:00;996,6;6,2;89;0;0;230;7,9;0,9;0;0;0
01.01.2019 05:10;996,4;6,2;89,6;0;0;220;8,4;;;;
01.01.2019 05:20;996,5;6,2;86,3;0;0;230;9,6;;;;
01.01.2019 05:30;996,3;6,2;85,8;0;0;220;9,8;;;;
01.01.2019 05:40;996,2;6,3;85,2;0;0;230;10,7;;;;
01.01.2019 05:50;996,1;6,3;81,9;0;0;230;10;;;;
01.01.2019 06:00;996,1;6,3;81,2;0;0;230;9,4;0,8;0;0;0
01.01.2019 06:10;996,1;6,4;81,2;0;0;230;8,2;;;;
01.01.2019 06:20;996,1;6,4;81,8;0;0;230;8,6;;;;
01.01.2019 06:30;995,9;6,5;81,9;0;0;230;8,2;;;;
01.01.2019 06:40;996;6,5;81,7;0;0;220;7,9;;;;
01.01.2019 06:50;995,8;6,5;81,5;0;0;230;8,2;;;;
01.01.2019 07:00;996;6,5;81,7;0;0;230;8,2;0,9;0;0;0
01.01.2019 07:10;995,8;6,5;81,2;0;0;230;9,1;;;;
01.01.2019 07:20;995,9;6,5;81,1;0;0;230;8,6;;;;
01.01.2019 07:30;995,9;6,5;79,6;0;0;220;9;;;;
01.01.2019 07:40;995,9;6,6;79;0;0;220;9,3;;;;
01.01.2019 07:50;995,9;6,6;80,3;0;0;220;7,8;;;;
01.01.2019 08:00;995,9;6,6;79,3;0;0;220;7,5;0,9;19,4;0;19,4
01.01.2019 08:10;995,7;6,7;79,2;0;0;210;6,9;;;;
01.01.2019 08:20;995,5;6,7;79,7;0;0;210;6,6;;;;
01.01.2019 08:30;995,2;6,7;80,9;0;0;200;5,8;;;;
01.01.2019 08:40;995,2;6,7;80,5;0;0;200;5,9;;;;
01.01.2019 08:50;995,2;6,7;80,1;0;0;200;5,7;;;;
01.01.2019 09:00;995,1;6,7;80,7;0;0;200;6,6;0,9;102,8;58,3;44,4
01.01.2019 09:10;995;6,7;79,4;0;0;210;7,4;;;;
01.01.2019 09:20;994,8;6,7;79,4;0;0;210;8,9;;;;
