Date [yyyy-mm-dd-hh-mm];Electrical Energy Price [€/MWh]
01.01.2018 00:00;114,97
01.01.2018 01:00;114,91
01.01.2018 02:00;112,14
01.01.2018 03:00;110,04
01.01.2018 04:00;110,44
01.01.2018 05:00;107,76
01.01.2018 06:00;105,11
01.01.2018 07:00;109,48
01.01.2018 08:00;110,89
01.01.2018 09:00;115,82
01.01.2018 10:00;120,25
01.01.2018 11:00;120,43
01.01.2018 12:00;121,67
01.01.2018 13:00;122,71
01.01.2018 14:00;123,67
01.01.2018 15:00;129,34
01.01.2018 16:00;138,13
01.01.2018 17:00;145,6
01.01.2018 18:00;147,96
01.01.2018 19:00;144,98
01.01.2018 20:00;138,94
01.01.2018 21:00;132,84
01.01.2018 22:00;136,18
01.01.2018 23:00;127,07
02.01.2018 00:00;124,55
02.01.2018 01:00;122,92
02.01.2018 02:00;122,12
02.01.2018 03:00;121,9
02.01.2018 04:00;121,74
02.01.2018 05:00;125,19
02.01.2018 06:00;132
02.01.2018 07:00;144,99
02.01.2018 08:00;147,89
02.01.2018 09:00;147,95
02.01.2018 10:00;147,55
02.01.2018 11:00;148,92
02.01.2018 12:00;148,09
02.01.2018 13:00;149,68
02.01.2018 14:00;149,99
02.01.2018 15:00;150,01
02.01.2018 16:00;151,78
02.01.2018 17:00;161,67
02.01.2018 18:00;149,11
02.01.2018 19:00;147,93
02.01.2018 20:00;143,08
02.01.2018 21:00;134,26
02.01.2018 22:00;139,93
02.01.2018 23:00;132,89
03.01.2018 00:00;130,03
03.01.2018 01:00;128,99
03.01.2018 02:00;127,65
03.01.2018 03:00;127,9
03.01.2018 04:00;127,51
03.01.2018 05:00;127,92
03.01.2018 06:00;142,14
03.01.2018 07:00;148,62
03.01.2018 08:00;151,94
03.01.2018 09:00;151,19
03.01.2018 10:00;146,28
03.01.2018 11:00;143,95
03.01.2018 12:00;140,31
03.01.2018 13:00;135,52
03.01.2018 14:00;131,09
03.01.2018 15:00;131,04
03.01.2018 16:00;133,09
03.01.2018 17:00;136,15
03.01.2018 18:00;130,68
03.01.2018 19:00;130,04
03.01.2018 20:00;127,56
03.01.2018 21:00;118,57
03.01.2018 22:00;111,78
03.01.2018 23:00;103,5
04.01.2018 00:00;102,51
04.01.2018 01:00;93,96
04.01.2018 02:00;87,74
04.01.2018 03:00;88,92
04.01.2018 04:00;94,07
04.01.2018 05:00;104,56
04.01.2018 06:00;104,99
04.01.2018 07:00;125,64
04.01.2018 08:00;128,95
04.01.2018 09:00;127,28
04.01.2018 10:00;127,53
04.01.2018 11:00;128,82
04.01.2018 12:00;129,09
04.01.2018 13:00;129,89
04.01.2018 14:00;130,04
04.01.2018 15:00;130,18
04.01.2018 16:00;130,59
04.01.2018 17:00;140,96
04.01.2018 18:00;143,46
04.01.2018 19:00;142,38
04.01.2018 20:00;132,03
04.01.2018 21:00;128,56
04.01.2018 22:00;127,34
04.01.2018 23:00;126,06
05.01.2018 00:00;130,08
05.01.2018 01:00;130,33
05.01.2018 02:00;125
05.01.2018 03:00;124,98
05.01.2018 04:00;129,65
05.01.2018 05:00;129,74
05.01.2018 06:00;133,04
05.01.2018 07:00;145,71
05.01.2018 08:00;151,99
05.01.2018 09:00;148,12
05.01.2018 10:00;147,14
05.01.2018 11:00;144,07
05.01.2018 12:00;143,98
05.01.2018 13:00;142,85
05.01.2018 14:00;145
05.01.2018 15:00;151,49
05.01.2018 16:00;163,71
05.01.2018 17:00;167,93
05.01.2018 18:00;167,77
05.01.2018 19:00;159,16
05.01.2018 20:00;158,25
05.01.2018 21:00;137,1
05.01.2018 22:00;147,12
05.01.2018 23:00;131,09
06.01.2018 00:00;134,85
06.01.2018 01:00;135,16
06.01.2018 02:00;137,78
