Date [yyyy-mm-dd-hh-mm];Electrical Energy Price [€/MWh];Gas Price [€/MWh]
01.01.2019 00:00;88,74;19,88
01.01.2019 01:00;64,02;
01.01.2019 02:00;37,36;
01.01.2019 03:00;30,87;
01.01.2019 04:00;29,39;
01.01.2019 05:00;27,01;
01.01.2019 06:00;21,47;
01.01.2019 07:00;18;
01.01.2019 08:00;22,56;
01.01.2019 09:00;27,13;
01.01.2019 10:00;32,01;
01.01.2019 11:00;37,93;
01.01.2019 12:00;44,05;
01.01.2019 13:00;69,72;
01.01.2019 14:00;88,42;
01.01.2019 15:00;94,24;
01.01.2019 16:00;105,03;
01.01.2019 17:00;117,51;
01.01.2019 18:00;116,92;
01.01.2019 19:00;115,03;
01.01.2019 20:00;115,06;
01.01.2019 21:00;115,96;
01.01.2019 22:00;117,53;
01.01.2019 23:00;112,97;
02.01.2019 00:00;112,13;19,35
02.01.2019 01:00;109;
02.01.2019 02:00;107,64;
02.01.2019 03:00;106,16;
02.01.2019 04:00;105,84;
02.01.2019 05:00;108,56;
02.01.2019 06:00;116,59;
02.01.2019 07:00;135,93;
02.01.2019 08:00;141,96;
02.01.2019 09:00;143,91;
02.01.2019 10:00;144,01;
02.01.2019 11:00;143,71;
02.01.2019 12:00;142,17;
02.01.2019 13:00;141,25;
02.01.2019 14:00;140,11;
02.01.2019 15:00;137,87;
02.01.2019 16:00;137,65;
02.01.2019 17:00;141,38;
02.01.2019 18:00;140,09;
02.01.2019 19:00;135,09;
02.01.2019 20:00;128,95;
02.01.2019 21:00;119,47;
02.01.2019 22:00;115,31;
02.01.2019 23:00;103,95;
03.01.2019 00:00;101,94;18,92
03.01.2019 01:00;94,04;
03.01.2019 02:00;94,03;
03.01.2019 03:00;88,02;
03.01.2019 04:00;84,8;
03.01.2019 05:00;89,37;
03.01.2019 06:00;102,03;
03.01.2019 07:00;105,04;
03.01.2019 08:00;107,29;
03.01.2019 09:00;107,19;
03.01.2019 10:00;107,72;
03.01.2019 11:00;109,43;
03.01.2019 12:00;109,85;
03.01.2019 13:00;110,01;
03.01.2019 14:00;109,76;
03.01.2019 15:00;109,15;
