Date [yyyy-mm-dd-hh-mm];air_pressure;air_temperature;relative_air_humidity;rain_indicator;rainfall;wind_direction;wind_speed;clouds;global_radiation;direct_radiation;diffuse_radiation
01.01.2018 00:00;972,2;10,1;66,4;0;0;260;8,6;0,9;0;0;0
01.01.2018 00:10;972,1;9,9;68;0;0;260;9,4;;0;;0
01.01.2018 00:20;972,3;10;68,3;0;0;260;10,4;;0;;0
01.01.2018 00:30;972,6;10,2;68,3;0;0;260;10,2;;0;;0
01.01.2018 00:40;972,6;10,2;69,9;1;0;270;10;;0;;0
01.01.2018 00:50;972,7;10,1;70,8;1;0;270;9,7;;0;;0
01.01.2018 01:00;972,8;10,1;70,2;0;0;270;8,5;0,9;0;0;0
01.01.2018 01:10;973;9,9;69;0;0;270;9,3;;0;;0
01.01.2018 01:20;973,1;10;66,8;0;0;270;10,8;;0;;0
01.01.2018 01:30;973,1;9,7;67,8;0;0;270;11;;0;;0
01.01.2018 01:40;973,5;9,6;68,5;0;0;270;9,6;;0;;0
01.01.2018 01:50;973,5;9,5;68,8;0;0;270;9,1;;0;;0
01.01.2018 02:00;973,6;9,3;70,3;0;0;260;8,8;0,9;0;0;0
01.01.2018 02:10;973,7;9;72,4;0;0;250;7,1;;0;;0
01.01.2018 02:20;973,8;9;72,7;0;0;260;7,8;;0;;0
01.01.2018 02:30;973,7;8,9;73,3;0;0;260;9,3;;0;;0
01.01.2018 02:40;973,8;8,8;73,4;0;0;260;10;;0;;0
01.01.2018 02:50;974;8,9;72,7;0;0;270;10,9;;0;;0
01.01.2018 03:00;974;8,8;72,3;0;0;270;10,2;0,9;0;0;0
01.01.2018 03:10;974,1;8,6;73,4;0;0;270;8,2;;0;;0
01.01.2018 03:20;974;8,6;72,7;0;0;270;8,7;;0;;0
01.01.2018 03:30;973,9;8,6;71,7;0;0;270;8,5;;0;;0
01.01.2018 03:40;973,9;8,7;71,4;1;0;270;9,5;;0;;0
01.01.2018 03:50;974;8,2;74,8;1;0,03;280;9,1;;0;;0
01.01.2018 04:00;974;8,4;73,3;0;0;270;8,6;0,9;0;0;0
01.01.2018 04:10;974,1;8,4;72;0;0;270;9,1;;0;;0
01.01.2018 04:20;974,3;8,4;71,5;0;0;270;8,5;;0;;0
01.01.2018 04:30;974,3;8,4;71,1;0;0;260;7,3;;0;;0
01.01.2018 04:40;974,3;8,4;71,2;0;0;270;8,4;;0;;0
01.01.2018 04:50;974,5;8,3;71,5;0;0;260;9,4;;0;;0
01.01.2018 05:00;974,7;8,2;71,5;0;0;260;8,9;0,9;0;0;0
01.01.2018 05:10;974,7;8,2;70,9;0;0;260;8,8;;0;;0
01.01.2018 05:20;974,8;8,1;72,3;0;0;260;8;;0;;0
01.01.2018 05:30;974,9;8;72,7;1;0;260;8,8;;0;;0
01.01.2018 05:40;975,1;7,6;74,7;1;0;260;10,7;;0;;0
01.01.2018 05:50;975,3;7,5;74,2;1;0;270;11,7;;0;;0
01.01.2018 06:00;975,5;7,1;78,3;0;0;260;10;0,8;0;0;0
01.01.2018 06:10;975,6;7,1;76,6;0;0;270;10,3;;0;;0
01.01.2018 06:20;975,6;7,1;77;1;0;270;10,2;;0;;0
01.01.2018 06:30;975,8;6,9;77,6;1;0;260;9,5;;0;;0
01.01.2018 06:40;975,9;6,9;74,5;0;0;270;9;;0;;0
01.01.2018 06:50;976,1;6,9;73;0;0;270;9,1;;0;;0
01.01.2018 07:00;976,4;6,8;72,9;0;0;280;8,7;0,9;0;0;0
01.01.2018 07:10;976,5;6,9;71,4;0;0;280;9,6;;0,1;;0,1
01.01.2018 07:20;976,5;6,8;72,7;0;0;270;9,5;;0,2;;0,2
01.01.2018 07:30;976,6;6,6;74,3;0;0;270;9,2;;0,3;;0,3
01.01.2018 07:40;976,6;6,7;74,3;1;0;270;10,5;;0,6;;0,5
01.01.2018 07:50;976,8;6,8;72;1;0;280;10,8;;1;;0,9
01.01.2018 08:00;976,8;6,8;72,1;0;0;270;10,5;0,9;1,4;0;1,3
01.01.2018 08:10;976,8;6,8;72,6;0;0;270;9,4;;1,7;;1,6
01.01.2018 08:20;976,9;6,8;72,3;0;0;270;10,8;;1,7;;1,5
01.01.2018 08:30;977,1;6,7;72,3;0;0;270;9,5;;2,2;;1,9
01.01.2018 08:40;977,2;6,6;72,7;0;0;270;8,9;;2,3;;1,9
01.01.2018 08:50;977,2;6,7;72,7;1;0;270;9,6;;4,2;;3,3
01.01.2018 09:00;977,3;6,7;72,8;1;0;270;10,7;0,9;5,4;58,3;2,2
01.01.2018 09:10;977,5;6,8;71,9;0;0;270;10,4;;9,3;;2,3
01.01.2018 09:20;977,4;6,9;70;0;0;270;9,4;;10,8;;2,4
