name;ext_id;is_ext_input;is_ext_output;is_agent_action;is_agent_observation;low_value;high_value;ext_scale_add;ext_scale_mult;abort_condition_min;abort_condition_max;from_scenario;scenario_id;scenario_scale_add;scenario_scale_mult
u_P1;u_P1;True;;True;;0;1;;;;;;;;
u_P2;u_P2;True;;True;;0;1;;;;;;;;
u_P3;u_P3;True;;True;;0;1;;;;;;;;
u_KKM1_On;u_KKM1_On;True;;True;;0;1;;;;;;;;
u_KKM2_On;u_KKM2_On;True;;True;;0;1;;;;;;;;
u_KKM1_T_Target;u_KKM1_T_Target;True;;True;;4;12;;;;;;;;
u_KKM2_T_Target;u_KKM2_T_Target;True;;True;;4;12;;;;;;;;
u_KT_1;u_KT_1;True;;True;;0;1;;;;;;;;
u_KT_2;u_KT_2;True;;True;;0;1;;;;;;;;
u_KT_3;u_KT_3;True;;True;;0;1;;;;;;;;
u_KT_4;u_KT_4;True;;True;;0;1;;;;;;;;
u_KT_5;u_KT_5;True;;True;;0;1;;;;;;;;
u_KT_6;u_KT_6;True;;True;;0;1;;;;;;;;
u_WT1;u_WT1;True;;True;;0;1;;;;;;;;
u_WT2;u_WT2;True;;True;;0;1;;;;;;;;
CoolingDemandCoolingWater;CoolingDemandCoolingWater;True;;;;0;2000000;;;;;True;q_cool;;
CoolingDemandColdWater;CoolingDemandColdWater;True;;;;0;2000000;;;;;True;q_cold;;
T_in_coolingCircuit;T_in_coolingCircuit;;True;;True;0;100;-273,15;;12;28;;;;
T_out_coolingCircuit;T_out_coolingCircuit;;True;;True;0;100;-273,15;;0;80;;;;
p_coolingCircuit;p_coolingCircuit;;True;;False;;;;;;;;;;
pressure_cwCircuit;pressure_cwCircuit;;True;;False;;;;;;;;;;
Temperature_cwCircuit_in;Temperature_cwCircuit_in;;True;;True;0;100;-273,15;;2;30;;;;
Temperature_cwCircuit_out;Temperature_cwCircuit_out;;True;;True;0;100;-273,15;;0;80;;;;
T_KKM1_cond_in;T_KKM1_cond_in;;True;;True;0;100;-273,15;;0;80;;;;
T_KKM1_evap_in;T_KKM1_evap_in;;True;;True;0;100;-273,15;;0;80;;;;
T_KKM1_evap_out;T_KKM1_evap_out;;True;;True;0;100;-273,15;;0;80;;;;
T_KKM2_cond_in;T_KKM2_cond_in;;True;;True;0;100;-273,15;;0;80;;;;
T_KKM2_evap_in;T_KKM2_evap_in;;True;;True;0;100;-273,15;;0;80;;;;
T_KKM2_evap_out;T_KKM2_evap_out;;True;;True;0;100;-273,15;;0;80;;;;
T_WT1_in;T_WT1_in;;True;;True;0;100;-273,15;;0;80;;;;
T_WT1_out;T_WT1_out;;True;;True;0;100;-273,15;;0;80;;;;
T_main_vorlauf;T_main_vorlauf;;True;;True;0;100;-273,15;;12;28;;;;
T_main_ruecklauf;T_main_ruecklauf;;True;;True;0;100;-273,15;;0;80;;;;
p_main_vorlauf;p_main_vorlauf;;True;;False;;;;;;;;;;
T_tank_ww;T_tank_ww;;True;;True;0;100;-273,15;;0;80;;;;
T_tank_cw;T_tank_cw;;True;;True;0;100;-273,15;;12;80;;;;
Tank_level_cold;Tank_level_cold;;True;;True;0;3;;;0.1;2,9;;;;
Tank_level_warm;Tank_level_warm;;True;;True;0;3;;;0.1;2,9;;;;
P_el_KKM_kw;P_el_KKM;;True;;False;;;;0,001;;;;;;
P_el_KTs_kw;P_el_KTs;;True;;False;;;;0,001;;;;;;
P_el_ges_kw;P_el_ges;;True;;False;;;;0,001;;;;;;
s_u_P1;u_P1;;True;;False;0;1;;;;;;;;
s_u_P2;u_P2;;True;;False;0;1;;;;;;;;
s_u_P3;u_P3;;True;;False;0;1;;;;;;;;
s_u_KKM1_On;u_KKM1_On;;True;;False;0;1;;;;;;;;
s_u_KKM2_On;u_KKM2_On;;True;;False;0;1;;;;;;;;
s_u_KKM1_T_Target;u_KKM1_T_Target;;True;;False;0;1;;;;;;;;
s_u_KKM2_T_Target;u_KKM2_T_Target;;True;;False;0;1;;;;;;;;
s_u_KT_1;u_KT_1;;True;;False;0;1;;;;;;;;
s_u_KT_2;u_KT_2;;True;;False;0;1;;;;;;;;
s_u_KT_3;u_KT_3;;True;;False;0;1;;;;;;;;
s_u_KT_4;u_KT_4;;True;;False;0;1;;;;;;;;
s_u_KT_5;u_KT_5;;True;;False;0;1;;;;;;;;
s_u_KT_6;u_KT_6;;True;;False;0;1;;;;;;;;
s_u_WT1;u_WT1;;True;;False;0;1;;;;;;;;
s_u_WT2;u_WT2;;True;;False;0;1;;;;;;;;
