Timestamp;Power_Electricity;Power_Heat;Power_Cold;Power_Gas;Time_Availability
2016-12-31 23:15;3998,3;1076,4;83,9;3558,7;28,75
2016-12-31 23:30;3995,8;1076,4;84;3837,6;28,5
2016-12-31 23:45;3826,9;1076,4;84,1;3939;28,25
2017-01-01 00:00;3819,1;1076,4;84,2;3653,2;28
2017-01-01 00:15;4077,9;717,6;84,6;3436,5;27,75
2017-01-01 00:30;3729,4;1076,4;83,2;3644;27,5
2017-01-01 00:45;4021,9;717,6;85,1;3849,1;27,25
2017-01-01 01:00;4007,7;358,8;86,1;3872,1;27
2017-01-01 01:15;3533,6;717,6;84;3510,3;26,75
2017-01-01 01:30;3781;1435,2;84,3;3623,2;26,5
2017-01-01 01:45;3819,5;717,6;82,4;3922,8;26,25
2017-01-01 02:00;3896,9;1435,2;82,6;3807,6;26
2017-01-01 02:15;3780,9;717,6;84;3641,7;25,75
2017-01-01 02:30;4025,3;358,8;84,4;3528,7;25,5
2017-01-01 02:45;3694,4;717,6;83,7;3812,2;25,25
2017-01-01 03:00;3668,2;717,6;82,5;3581,7;25
2017-01-01 03:15;3961,3;1076,4;83,5;3978,2;24,75
2017-01-01 03:30;3834,8;1076,4;81,6;3503,4;24,5
2017-01-01 03:45;3886,4;358,8;82,6;3789,2;24,25
2017-01-01 04:00;3744,7;1076,4;83;3484,9;24
2017-01-01 04:15;3882;1076,4;82,6;3844,5;23,75
2017-01-01 04:30;3785,1;717,6;82,3;3906,7;23,5
2017-01-01 04:45;3652,3;1076,4;81,1;3588,6;23,25
2017-01-01 05:00;3915,9;1076,4;82,9;3526,4;23
2017-01-01 05:15;3822;1435,2;82,5;3627,8;22,75
2017-01-01 05:30;3854,1;717,6;82;4102,6;22,5
2017-01-01 05:45;3777,7;1076,4;82,7;3683,1;22,25
2017-01-01 06:00;3815,9;1076,4;83,1;3611,7;22
2017-01-01 06:15;3954,4;1076,4;83,8;3526,4;21,75
2017-01-01 06:30;3820,1;717,6;84,5;3883,7;21,5
2017-01-01 06:45;3847;1435,2;84,8;3830,6;21,25
2017-01-01 07:00;3781,5;1076,4;84,7;3736,2;21
2017-01-01 07:15;3898,2;1435,2;84,3;3713,1;20,75
2017-01-01 07:30;3848,4;1435,2;83,6;3671,6;20,5
2017-01-01 07:45;3910,1;1435,2;83,1;3680,8;20,25
2017-01-01 08:00;3828,3;358,8;84,2;3826;20
2017-01-01 08:15;3744,6;717,6;83,4;3922,8;19,75
2017-01-01 08:30;3858,1;717,6;83,4;3491,8;19,5
2017-01-01 08:45;3804,5;1076,4;83,7;3554,1;19,25
2017-01-01 09:00;3825,2;1435,2;83,7;3798,4;19
2017-01-01 09:15;3861,2;717,6;85,2;3800,7;18,75
2017-01-01 09:30;3898,4;1076,4;86,4;3641,7;18,5
2017-01-01 09:45;3752,1;717,6;86,1;3491,8;18,25
2017-01-01 10:00;3930,8;717,6;87,5;3584;18
2017-01-01 10:15;3844,7;1076,4;87,5;4005,8;17,75
2017-01-01 10:30;3656,4;1076,4;86,1;3860,6;17,5
2017-01-01 10:45;3936,7;717,6;88;3524,1;17,25
2017-01-01 11:00;3858,7;1435,2;88,5;4001,2;17
2017-01-01 11:15;3756,9;358,8;88,9;3886;16,75
2017-01-01 11:30;3944,4;1076,4;90,6;3860,6;16,5
2017-01-01 11:45;3670,6;1076,4;89;3957,4;16,25
2017-01-01 12:00;3979,1;1076,4;90,6;3637;16
2017-01-01 12:15;3949,7;1435,2;91,8;3662,4;15,75
2017-01-01 12:30;3750,7;358,8;91,5;3906,7;15,5
2017-01-01 12:45;3739,6;717,6;92,9;4028,9;15,25
2017-01-01 13:00;4000,4;1435,2;93;3793,8;15
2017-01-01 13:15;4048,2;717,6;93,6;3793,8;14,75
2017-01-01 13:30;3871,2;1076,4;94,3;3768,4;14,5
2017-01-01 13:45;4051,5;1794;96,2;3888,3;14,25
