Zeitstempel,Wert
2017-01-01 00:00:00,853369
2017-01-01 00:15:00,893332
2017-01-01 00:30:00,939557
2017-01-01 00:45:00,941913
2017-01-01 01:00:00,913268
2017-01-01 01:15:00,942152
2017-01-01 01:30:00,891074
2017-01-01 01:45:00,941109
2017-01-01 02:00:00,852168
2017-01-01 02:15:00,898908
2017-01-01 02:30:00,869001
2017-01-01 02:45:00,945532
2017-01-01 03:00:00,881130
2017-01-01 03:15:00,927388
2017-01-01 03:30:00,916197
2017-01-01 03:45:00,893290
2017-01-01 04:00:00,885907
2017-01-01 04:15:00,898575
2017-01-01 04:30:00,890185
2017-01-01 04:45:00,878059
2017-01-01 05:00:00,866549
2017-01-01 05:15:00,850660
2017-01-01 05:30:00,853035
2017-01-01 05:45:00,897710
2017-01-01 06:00:00,858075
2017-01-01 06:15:00,855522
2017-01-01 06:30:00,943456
2017-01-01 06:45:00,888115
2017-01-01 07:00:00,855411
2017-01-01 07:15:00,870788
2017-01-01 07:30:00,853330
2017-01-01 07:45:00,892239
2017-01-01 08:00:00,938284
2017-01-01 08:15:00,850918
2017-01-01 08:30:00,869264
2017-01-01 08:45:00,860016
2017-01-01 09:00:00,875483
2017-01-01 09:15:00,891562
2017-01-01 09:30:00,875623
2017-01-01 09:45:00,885256
2017-01-01 10:00:00,870332
2017-01-01 10:15:00,857353
2017-01-01 10:30:00,936438
2017-01-01 10:45:00,931126
2017-01-01 11:00:00,926965
2017-01-01 11:15:00,888013
2017-01-01 11:30:00,852075
2017-01-01 11:45:00,929720
2017-01-01 12:00:00,946922
2017-01-01 12:15:00,900052
2017-01-01 12:30:00,931197
2017-01-01 12:45:00,946002
2017-01-01 13:00:00,910632
2017-01-01 13:15:00,930632
2017-01-01 13:30:00,875687
2017-01-01 13:45:00,886104
2017-01-01 14:00:00,940082
2017-01-01 14:15:00,906517
2017-01-01 14:30:00,893393
2017-01-01 14:45:00,946973
2017-01-01 15:00:00,919566
2017-01-01 15:15:00,876933
2017-01-01 15:30:00,926144
2017-01-01 15:45:00,879664
2017-01-01 16:00:00,941353
2017-01-01 16:15:00,857213
2017-01-01 16:30:00,944977
2017-01-01 16:45:00,910468
2017-01-01 17:00:00,888696
2017-01-01 17:15:00,912210
2017-01-01 17:30:00,933694
2017-01-01 17:45:00,924502
2017-01-01 18:00:00,941363
2017-01-01 18:15:00,876344
2017-01-01 18:30:00,899294
2017-01-01 18:45:00,936199
2017-01-01 19:00:00,893111
2017-01-01 19:15:00,879999
2017-01-01 19:30:00,875068
2017-01-01 19:45:00,900398
2017-01-01 20:00:00,866636
2017-01-01 20:15:00,942645
2017-01-01 20:30:00,910005
2017-01-01 20:45:00,876573
2017-01-01 21:00:00,933074
2017-01-01 21:15:00,919709
2017-01-01 21:30:00,902478
2017-01-01 21:45:00,921999
2017-01-01 22:00:00,880860
2017-01-01 22:15:00,867562
2017-01-01 22:30:00,917737
2017-01-01 22:45:00,876826
2017-01-01 23:00:00,934399
2017-01-01 23:15:00,932429
2017-01-01 23:30:00,860884
2017-01-01 23:45:00,866091
2017-01-02 00:00:00,884282
2017-01-02 00:15:00,914498
2017-01-02 00:30:00,945482
2017-01-02 00:45:00,908391
2017-01-02 01:00:00,853002
2017-01-02 01:15:00,929385
2017-01-02 01:30:00,899253
2017-01-02 01:45:00,937104
2017-01-02 02:00:00,896166
2017-01-02 02:15:00,947062
2017-01-02 02:30:00,896114
2017-01-02 02:45:00,908175
2017-01-02 03:00:00,918933
2017-01-02 03:15:00,921829
2017-01-02 03:30:00,873725
2017-01-02 03:45:00,862773
2017-01-02 04:00:00,855950
2017-01-02 04:15:00,858865
2017-01-02 04:30:00,946634
2017-01-02 04:45:00,911350
2017-01-02 05:00:00,867141
2017-01-02 05:15:00,869295
2017-01-02 05:30:00,889664
2017-01-02 05:45:00,917488
2017-01-02 06:00:00,895407
2017-01-02 06:15:00,947855
2017-01-02 06:30:00,852525
2017-01-02 06:45:00,881667
2017-01-02 07:00:00,874237
2017-01-02 07:15:00,925420
2017-01-02 07:30:00,920976
2017-01-02 07:45:00,935185
2017-01-02 08:00:00,860966
2017-01-02 08:15:00,923309
2017-01-02 08:30:00,944837
2017-01-02 08:45:00,872746
2017-01-02 09:00:00,864123
2017-01-02 09:15:00,900164
2017-01-02 09:30:00,852699
2017-01-02 09:45:00,858913
2017-01-02 10:00:00,914657
2017-01-02 10:15:00,865657
2017-01-02 10:30:00,897346
2017-01-02 10:45:00,884470
2017-01-02 11:00:00,927316
2017-01-02 11:15:00,886094
2017-01-02 11:30:00,864381
2017-01-02 11:45:00,885570
2017-01-02 12:00:00,947382
2017-01-02 12:15:00,918137
2017-01-02 12:30:00,888705
2017-01-02 12:45:00,919397
2017-01-02 13:00:00,878130
