datetime,value
2017-01-01 00:00:00,887217
2017-01-01 00:15:00,883164
2017-01-01 00:30:00,875158
2017-01-01 00:45:00,873209
2017-01-01 01:00:00,882797
2017-01-01 01:15:00,857123
2017-01-01 01:30:00,897342
2017-01-01 01:45:00,931235
2017-01-01 02:00:00,854716
2017-01-01 02:15:00,867139
2017-01-01 02:30:00,888838
2017-01-01 02:45:00,892964
2017-01-01 03:00:00,878908
2017-01-01 03:15:00,927944
2017-01-01 03:30:00,857904
2017-01-01 03:45:00,926752
2017-01-01 04:00:00,871713
2017-01-01 04:15:00,935605
2017-01-01 04:30:00,944619
2017-01-01 04:45:00,900849
2017-01-01 05:00:00,917009
2017-01-01 05:15:00,907053
2017-01-01 05:30:00,883380
2017-01-01 05:45:00,874254
2017-01-01 06:00:00,936954
2017-01-01 06:15:00,897120
2017-01-01 06:30:00,856237
2017-01-01 06:45:00,944226
2017-01-01 07:00:00,855924
2017-01-01 07:15:00,931852
2017-01-01 07:30:00,906775
2017-01-01 07:45:00,862842
2017-01-01 08:00:00,948459
2017-01-01 08:15:00,858984
2017-01-01 08:30:00,873236
2017-01-01 08:45:00,886735
2017-01-01 09:00:00,936921
2017-01-01 09:15:00,881867
2017-01-01 09:30:00,870341
2017-01-01 09:45:00,860587
2017-01-01 10:00:00,949757
2017-01-01 10:15:00,897992
2017-01-01 10:30:00,891413
2017-01-01 10:45:00,904037
2017-01-01 11:00:00,856947
2017-01-01 11:15:00,919068
2017-01-01 11:30:00,892476
2017-01-01 11:45:00,873461
2017-01-01 12:00:00,940448
2017-01-01 12:15:00,865130
2017-01-01 12:30:00,855509
2017-01-01 12:45:00,900453
2017-01-01 13:00:00,872009
2017-01-01 13:15:00,930615
2017-01-01 13:30:00,900372
2017-01-01 13:45:00,890893
2017-01-01 14:00:00,915367
2017-01-01 14:15:00,859891
2017-01-01 14:30:00,935617
2017-01-01 14:45:00,932825
2017-01-01 15:00:00,890663
2017-01-01 15:15:00,875929
2017-01-01 15:30:00,905389
2017-01-01 15:45:00,926085
2017-01-01 16:00:00,873934
2017-01-01 16:15:00,894558
2017-01-01 16:30:00,939564
2017-01-01 16:45:00,886280
2017-01-01 17:00:00,900292
2017-01-01 17:15:00,916294
2017-01-01 17:30:00,882054
2017-01-01 17:45:00,869329
2017-01-01 18:00:00,920983
2017-01-01 18:15:00,916058
2017-01-01 18:30:00,916953
2017-01-01 18:45:00,896346
2017-01-01 19:00:00,902628
2017-01-01 19:15:00,887537
2017-01-01 19:30:00,910401
2017-01-01 19:45:00,931256
2017-01-01 20:00:00,860545
2017-01-01 20:15:00,855925
2017-01-01 20:30:00,935257
2017-01-01 20:45:00,932815
2017-01-01 21:00:00,920309
2017-01-01 21:15:00,918898
2017-01-01 21:30:00,949810
2017-01-01 21:45:00,920466
2017-01-01 22:00:00,936157
2017-01-01 22:15:00,894529
2017-01-01 22:30:00,908283
2017-01-01 22:45:00,892448
2017-01-01 23:00:00,929858
2017-01-01 23:15:00,929229
2017-01-01 23:30:00,916957
2017-01-01 23:45:00,859573
2017-01-02 00:00:00,920560
2017-01-02 00:15:00,901967
2017-01-02 00:30:00,912222
2017-01-02 00:45:00,920549
2017-01-02 01:00:00,895932
2017-01-02 01:15:00,853657
2017-01-02 01:30:00,935780
2017-01-02 01:45:00,865833
2017-01-02 02:00:00,908452
2017-01-02 02:15:00,906801
2017-01-02 02:30:00,861359
2017-01-02 02:45:00,912741
2017-01-02 03:00:00,850552
2017-01-02 03:15:00,939278
2017-01-02 03:30:00,949494
2017-01-02 03:45:00,929076
2017-01-02 04:00:00,865566
2017-01-02 04:15:00,929627
2017-01-02 04:30:00,888802
2017-01-02 04:45:00,892638
2017-01-02 05:00:00,902914
2017-01-02 05:15:00,879979
2017-01-02 05:30:00,908989
2017-01-02 05:45:00,875913
2017-01-02 06:00:00,853342
