Date [yyyy-mm-dd-hh-mm];air_pressure;air_temperature;relative_air_humidity;rain_indicator;rainfall;wind_direction;wind_speed;clouds;global_radiation;direct_radiation;diffuse_radiation
2017-01-01 00:00;1016,2;-3,9;98,5;1;0;240;2,4;1;0;0;0
2017-01-01 00:10;1016;-3,9;99,2;1;0;250;2,2;;;;
2017-01-01 00:20;1015,8;-3,9;98,3;1;0;230;2,3;;;;
2017-01-01 00:30;1015,7;-3,9;97,9;1;0;230;2;;;;
2017-01-01 00:40;1015,6;-3,8;99;1;0;240;2,6;;;;
2017-01-01 00:50;1015,5;-3,8;98,7;1;0;240;2,2;;;;
2017-01-01 01:00;1015,4;-3,8;99;1;0;230;2,6;1;0;0;0
2017-01-01 01:10;1015,3;-3,7;98,7;1;0;240;2,2;;;;
2017-01-01 01:20;1015,1;-3,7;98,2;1;0;230;2,7;;;;
2017-01-01 01:30;1015;-3,7;97,7;1;0;230;2,3;;;;
2017-01-01 01:40;1014,9;-3,8;99,2;1;0;250;2,5;;;;
2017-01-01 01:50;1014,8;-3,7;98,3;1;0;250;2,2;;;;
2017-01-01 02:00;1014,8;-3,7;98,5;1;0;260;2,8;1;0;0;0
2017-01-01 02:10;1014,7;-3,7;99,2;1;0;260;2,5;;;;
2017-01-01 02:20;1014,7;-3,7;98,2;1;0;250;2,6;;;;
2017-01-01 02:30;1014,5;-3,8;98,2;1;0;240;2,9;;;;
2017-01-01 02:40;1014,3;-3,8;98,6;1;0;230;2,6;;;;
2017-01-01 02:50;1014,1;-3,9;98,6;1;0;230;2,7;;;;
2017-01-01 03:00;1014;-3,8;98,8;1;0;230;2,4;1;0;0;0
2017-01-01 03:10;1013,9;-3,8;98,6;1;0;240;2,6;;;;
2017-01-01 03:20;1013,8;-3,9;97,7;1;0;230;2,3;;;;
2017-01-01 03:30;1013,7;-3,9;99,1;1;0;220;1,8;;;;
2017-01-01 03:40;1013,6;-3,9;98,3;1;0;230;1,9;;;;
2017-01-01 03:50;1013,5;-3,8;99,3;1;0;210;2,4;;;;
2017-01-01 04:00;1013,3;-3,9;98,7;1;0;220;2,7;1;0;0;0
2017-01-01 04:10;1013,2;-3,9;99,1;1;0;220;3;;;;
2017-01-01 04:20;1013,1;-3,9;98,6;1;0;210;2,7;;;;
2017-01-01 04:30;1013,1;-3,9;99;1;0;230;2,5;;;;
2017-01-01 04:40;1012,9;-3,9;99,2;1;0;240;2,9;;;;
2017-01-01 04:50;1012,8;-3,9;100;1;0;230;2,6;;;;
2017-01-01 05:00;1012,9;-3,8;99,4;1;0;230;2,2;1;0;0;0
2017-01-01 05:10;1012,8;-3,8;98,6;1;0;210;2,4;;;;
