Name;Global Radiation;Global Radiation_1;Global Radiation_2;Interpolated_Global_Radiation
station_id;1420;3287;5906;
date;;;;
2024-08-12 00:00:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 00:10:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 00:20:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 00:30:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 00:40:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 00:50:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 01:00:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 01:10:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 01:20:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 01:30:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 01:40:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 01:50:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 02:00:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 02:10:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 02:20:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 02:30:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 02:40:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 02:50:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 03:00:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 03:10:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 03:20:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 03:30:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 03:40:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 03:50:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 04:00:00+00:00;0.00000;0.00000;0.10000;0.03333
2024-08-12 04:10:00+00:00;0.20000;0.00000;0.20000;0.13333
2024-08-12 04:20:00+00:00;0.40000;0.10000;0.40000;0.30000
2024-08-12 04:30:00+00:00;0.80000;0.40000;0.80000;0.66667
2024-08-12 04:40:00+00:00;1.50000;0.90000;1.40000;1.26667
2024-08-12 04:50:00+00:00;2.30000;1.30000;2.00000;1.86667
2024-08-12 05:00:00+00:00;3.40000;2.00000;3.60000;3.00000
2024-08-12 05:10:00+00:00;4.60000;2.90000;4.70000;4.06667
2024-08-12 05:20:00+00:00;5.90000;5.70000;7.20000;6.26667
2024-08-12 05:30:00+00:00;7.20000;7.60000;7.30000;7.36667
2024-08-12 05:40:00+00:00;8.90000;9.90000;5.10000;7.96667
2024-08-12 05:50:00+00:00;10.60000;11.40000;5.30000;9.10000
2024-08-12 06:00:00+00:00;12.00000;10.90000;6.20000;9.70000
2024-08-12 06:10:00+00:00;13.50000;11.60000;7.00000;10.70000
2024-08-12 06:20:00+00:00;14.50000;11.60000;7.50000;11.20000
2024-08-12 06:30:00+00:00;16.80000;11.20000;8.10000;12.03333
2024-08-12 06:40:00+00:00;18.50000;16.50000;12.90000;15.96667
2024-08-12 06:50:00+00:00;20.30000;16.00000;18.30000;18.20000
2024-08-12 07:00:00+00:00;21.60000;8.80000;21.70000;17.36667
2024-08-12 07:10:00+00:00;23.60000;22.80000;23.50000;23.30000
2024-08-12 07:20:00+00:00;25.00000;25.80000;26.00000;25.60000
2024-08-12 07:30:00+00:00;26.50000;26.80000;27.70000;27.00000
2024-08-12 07:40:00+00:00;27.90000;27.60000;29.20000;28.23333
2024-08-12 07:50:00+00:00;29.20000;29.50000;30.90000;29.86667
2024-08-12 08:00:00+00:00;30.60000;31.90000;32.70000;31.73333
2024-08-12 08:10:00+00:00;32.10000;33.10000;34.80000;33.33333
2024-08-12 08:20:00+00:00;33.40000;34.30000;36.00000;34.56667
2024-08-12 08:30:00+00:00;35.10000;35.90000;35.60000;35.53333
2024-08-12 08:40:00+00:00;36.30000;36.70000;15.80000;29.60000
2024-08-12 08:50:00+00:00;37.90000;35.50000;18.90000;30.76667
2024-08-12 09:00:00+00:00;38.90000;24.90000;28.90000;30.90000
2024-08-12 09:10:00+00:00;40.30000;13.70000;49.20000;34.40000
2024-08-12 09:20:00+00:00;40.20000;15.80000;18.70000;24.90000
2024-08-12 09:30:00+00:00;42.20000;30.80000;15.20000;29.40000
2024-08-12 09:40:00+00:00;43.00000;37.80000;17.60000;32.80000
2024-08-12 09:50:00+00:00;43.90000;42.00000;16.50000;34.13333
2024-08-12 10:00:00+00:00;44.80000;44.50000;16.50000;35.26667
2024-08-12 10:10:00+00:00;45.60000;41.70000;14.90000;34.06667
2024-08-12 10:20:00+00:00;46.30000;29.70000;12.70000;29.56667
2024-08-12 10:30:00+00:00;46.90000;51.10000;14.00000;37.33333
2024-08-12 10:40:00+00:00;47.60000;34.70000;16.30000;32.86667
2024-08-12 10:50:00+00:00;48.30000;19.20000;19.20000;28.90000
2024-08-12 11:00:00+00:00;49.40000;15.70000;21.60000;28.90000
2024-08-12 11:10:00+00:00;50.40000;23.40000;20.20000;31.33333
2024-08-12 11:20:00+00:00;49.90000;17.50000;15.70000;27.70000
2024-08-12 11:30:00+00:00;49.70000;13.10000;14.70000;25.83333
2024-08-12 11:40:00+00:00;53.10000;11.20000;16.60000;26.96667
2024-08-12 11:50:00+00:00;52.50000;12.30000;17.70000;27.50000
2024-08-12 12:00:00+00:00;52.40000;14.50000;18.00000;28.30000
2024-08-12 12:10:00+00:00;51.90000;14.40000;22.80000;29.70000
2024-08-12 12:20:00+00:00;51.30000;15.80000;25.80000;30.96667
2024-08-12 12:30:00+00:00;49.90000;22.30000;33.90000;35.36667
2024-08-12 12:40:00+00:00;42.80000;36.40000;52.30000;43.83333
2024-08-12 12:50:00+00:00;48.00000;25.90000;43.10000;39.00000
2024-08-12 13:00:00+00:00;47.00000;29.20000;42.80000;39.66667
2024-08-12 13:10:00+00:00;45.80000;23.50000;49.20000;39.50000
2024-08-12 13:20:00+00:00;44.70000;22.20000;47.40000;38.10000
2024-08-12 13:30:00+00:00;43.60000;17.70000;47.80000;36.36667
2024-08-12 13:40:00+00:00;42.40000;16.60000;44.60000;34.53333
2024-08-12 13:50:00+00:00;41.50000;27.60000;39.70000;36.26667
2024-08-12 14:00:00+00:00;40.30000;35.50000;38.00000;37.93333
2024-08-12 14:10:00+00:00;37.20000;25.90000;38.00000;33.70000
2024-08-12 14:20:00+00:00;41.70000;25.00000;39.00000;35.23333
2024-08-12 14:30:00+00:00;36.80000;20.80000;38.10000;31.90000
2024-08-12 14:40:00+00:00;35.50000;29.80000;36.10000;33.80000
2024-08-12 14:50:00+00:00;34.20000;37.50000;34.50000;35.40000
2024-08-12 15:00:00+00:00;32.70000;27.90000;32.80000;31.13333
2024-08-12 15:10:00+00:00;31.20000;27.50000;31.30000;30.00000
2024-08-12 15:20:00+00:00;29.70000;29.80000;29.70000;29.73333
2024-08-12 15:30:00+00:00;28.20000;27.70000;26.50000;27.46667
2024-08-12 15:40:00+00:00;26.60000;25.20000;23.80000;25.20000
2024-08-12 15:50:00+00:00;25.00000;22.60000;24.20000;23.93333
2024-08-12 16:00:00+00:00;23.40000;23.20000;16.30000;20.96667
2024-08-12 16:10:00+00:00;19.60000;21.70000;17.10000;19.46667
2024-08-12 16:20:00+00:00;20.10000;20.10000;20.20000;20.13333
2024-08-12 16:30:00+00:00;18.60000;18.30000;18.20000;18.36667
2024-08-12 16:40:00+00:00;15.70000;16.70000;16.40000;16.26667
2024-08-12 16:50:00+00:00;14.00000;14.70000;14.60000;14.43333
2024-08-12 17:00:00+00:00;12.90000;13.60000;13.00000;13.16667
2024-08-12 17:10:00+00:00;11.40000;12.00000;11.30000;11.56667
2024-08-12 17:20:00+00:00;10.80000;10.30000;9.60000;10.23333
2024-08-12 17:30:00+00:00;9.10000;8.70000;8.10000;8.63333
2024-08-12 17:40:00+00:00;7.50000;7.20000;6.70000;7.13333
2024-08-12 17:50:00+00:00;5.90000;5.70000;5.30000;5.63333
2024-08-12 18:00:00+00:00;4.50000;3.90000;4.10000;4.16667
2024-08-12 18:10:00+00:00;3.40000;2.20000;3.10000;2.90000
2024-08-12 18:20:00+00:00;2.10000;1.20000;2.20000;1.83333
2024-08-12 18:30:00+00:00;1.10000;0.60000;1.20000;0.96667
2024-08-12 18:40:00+00:00;0.80000;0.20000;0.70000;0.56667
2024-08-12 18:50:00+00:00;0.40000;0.00000;0.40000;0.26667
2024-08-12 19:00:00+00:00;0.20000;0.00000;0.10000;0.10000
2024-08-12 19:10:00+00:00;0.10000;0.00000;0.00000;0.03333
2024-08-12 19:20:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 19:30:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 19:40:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 19:50:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 20:00:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 20:10:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 20:20:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 20:30:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 20:40:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 20:50:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 21:00:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 21:10:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 21:20:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 21:30:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 21:40:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 21:50:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 22:00:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 22:10:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 22:20:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 22:30:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 22:40:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 22:50:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 23:00:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 23:10:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 23:20:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 23:30:00+00:00;0.00000;0.00000;0.00000;0.00000
