Name;Global Radiation;Global Radiation;Global Radiation;Interpolated_Global_Radiation
station_id;01420;03287;05906;
date;;;;
2024-05-27 10:00:00+00:00;8,6;20,5;37,4;22,166666666666668
2024-05-27 10:10:00+00:00;12,0;20,0;31,5;21,166666666666668
2024-05-27 10:20:00+00:00;13,3;16,8;54,3;28,133333333333336
2024-05-27 10:30:00+00:00;16,0;13,1;43,8;24,3
2024-05-27 10:40:00+00:00;16,8;7,3;33,7;19,26666666666667
2024-05-27 10:50:00+00:00;19,9;11,4;21,1;17,466666666666665
2024-05-27 11:00:00+00:00;26,9;10,7;20,5;19,366666666666664
2024-05-27 11:10:00+00:00;25,1;12,6;18,0;18,566666666666666
2024-05-27 11:20:00+00:00;26,7;18,5;24,1;23,100000000000005
2024-05-27 11:30:00+00:00;17,1;19,9;32,7;23,233333333333334
2024-05-27 11:40:00+00:00;13,7;21,1;47,2;27,333333333333332
2024-05-27 11:50:00+00:00;16,2;40,0;46,5;34,233333333333334
2024-05-27 12:00:00+00:00;23,7;41,9;59,4;41,666666666666664
2024-05-27 12:10:00+00:00;18,1;28,8;58,8;35,233333333333334
2024-05-27 12:20:00+00:00;24,1;13,6;54,0;30,566666666666666
2024-05-27 12:30:00+00:00;35,6;18,0;25,6;26,400000000000002
2024-05-27 12:40:00+00:00;45,1;33,7;17,7;32,16666666666667
2024-05-27 12:50:00+00:00;65,6;20,3;15,1;33,666666666666664
2024-05-27 13:00:00+00:00;47,7;11,9;17,7;25,766666666666666
2024-05-27 13:10:00+00:00;29,8;15,8;24,9;23,5
2024-05-27 13:20:00+00:00;24,7;20,5;25,1;23,433333333333337
2024-05-27 13:30:00+00:00;21,1;11,2;24,9;19,066666666666666
2024-05-27 13:40:00+00:00;16,4;9,5;25,7;17,2
2024-05-27 13:50:00+00:00;13,6;11,8;25,8;17,066666666666666
2024-05-27 14:00:00+00:00;15,4;12,7;18,6;15,566666666666668
2024-05-27 14:10:00+00:00;17,0;7,4;13,1;12,5
2024-05-27 14:20:00+00:00;13,9;6,2;22,3;14,133333333333335
2024-05-27 14:30:00+00:00;14,2;8,1;38,9;20,4
2024-05-27 14:40:00+00:00;23,1;9,5;38,9;23,833333333333332
2024-05-27 14:50:00+00:00;22,0;7,6;41,7;23,76666666666667
2024-05-27 15:00:00+00:00;15,6;5,7;38,7;20,0
2024-05-27 15:10:00+00:00;15,4;5,1;32,7;17,733333333333334
2024-05-27 15:20:00+00:00;12,3;4,5;24,7;13,833333333333334
2024-05-27 15:30:00+00:00;12,3;6,3;18,2;12,266666666666666
2024-05-27 15:40:00+00:00;16,0;12,0;19,2;15,733333333333334
2024-05-27 15:50:00+00:00;15,0;11,2;19,2;15,133333333333333
2024-05-27 16:00:00+00:00;14,4;14,2;20,0;16,2
2024-05-27 16:10:00+00:00;15,5;15,2;17,0;15,9
2024-05-27 16:20:00+00:00;14,2;13,7;14,5;14,133333333333333
2024-05-27 16:30:00+00:00;10,5;10,1;9,4;10,0
2024-05-27 16:40:00+00:00;9,6;9,2;6,8;8,533333333333333
2024-05-27 16:50:00+00:00;7,5;9,2;5,3;7,333333333333333
2024-05-27 17:00:00+00:00;2,7;8,3;1,7;4,233333333333333
2024-05-27 17:10:00+00:00;1,3;6,3;0,8;2,8000000000000003
2024-05-27 17:20:00+00:00;1,1;4,4;3,2;2,9
2024-05-27 17:30:00+00:00;1,7;3,4;5,0;3,3666666666666667
2024-05-27 17:40:00+00:00;2,0;3,2;4,6;3,266666666666667
